date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2012-01-03,411.23,412.5,409.0,409.4,10793600,12.4014910545408,12.4397905308418,12.3342407930044,12.3463036201858,302221102,0.0,1.0
2012-01-04,413.44,414.68,409.28,410.0,9286500,12.4681381747181,12.5055329389806,12.3426847720314,12.3643978609579,260022260,0.0,1.0
2012-01-05,418.03,418.55,412.67,414.95,9688200,12.606559116625,12.6222407919608,12.4449172323939,12.513675347328,271269871,0.0,1.0
2012-01-06,422.4,422.75,419.22,419.77,11367600,12.738345503582,12.7489004773658,12.6424460274897,12.6590324148642,318293118,0.0,1.0
2012-01-09,421.73,427.75,421.35,425.5001,14072300,12.7181402680531,12.8996858171335,12.7066805822308,12.8318354299448,394024794,0.0,1.0
2012-01-10,423.24,426.0,421.5,425.9101,9221300,12.763677440663,12.8469109482148,12.7112041424238,12.8441998278058,258196658,0.0,1.0
2012-01-11,422.55,422.85,419.31,422.68,7681600,12.742869063775,12.7519161841611,12.6451601636055,12.746789482609,215085015,0.0,1.0
2012-01-12,421.39,422.9,418.75,422.28,7592400,12.7078868649489,12.7534240375588,12.6282722055515,12.7347266554276,212587412,0.0,1.0
2012-01-13,419.81,420.45,418.66,419.7,8072200,12.6602386975823,12.6795392210726,12.6255580694357,12.6569214201074,226021826,0.0,1.0
2012-01-17,424.7,425.99,422.96,424.2,8674900,12.8077067598752,12.8466093775353,12.755233461636,12.7926282258984,242897442,0.0,1.0
2012-01-18,429.11,429.47,426.3,426.96,9885400,12.9406994295504,12.9515559740137,12.8559580686009,12.8758617334502,276791476,0.0,1.0
2012-01-19,427.75,431.369,426.51,430.15,9347800,12.8996858171335,13.0088242460575,12.8622910528711,12.9720627802221,261738661,0.0,1.0
2012-01-20,420.3,427.5,419.75,427.49,14784800,12.6750156608795,12.8921465501451,12.6584292735051,12.8918449794656,413974813,0.0,1.0
2012-01-23,427.409,428.45,422.3,422.67,10930800,12.8894022569614,12.920795764701,12.7353297967867,12.7464879119295,306062706,0.0,1.0
2012-01-24,420.41,425.1001,419.55,425.1001,19558500,12.6783329383544,12.8197726027634,12.6523978599144,12.8197726027634,547638547,0.0,1.0
2012-01-25,446.66,454.45,443.73,454.44,34225500,13.4699559721353,13.7048795314935,13.3815957630314,13.7045779608139,958314958,0.0,1.0
2012-01-26,444.63,448.79,443.14,448.36,11570900,13.4087371241896,13.5341905268763,13.3638030929388,13.5212229876563,323985523,0.0,1.0
2012-01-27,447.28,448.48,443.77,444.34,10703900,13.4886533542665,13.5248418358107,13.3828020457495,13.399991574483,299709499,0.0,1.0
2012-01-30,453.01,453.9,445.39,445.71,13547900,13.6614533536404,13.688293144119,13.4316564958343,13.4413067575794,379341579,0.0,1.0
2012-01-31,456.48,458.24,453.07,455.59,13988700,13.7660983794392,13.8191748190375,13.6632627777176,13.7392585889605,391683991,0.0,1.0
2012-02-01,456.19,458.99,455.55,458.41,9644500,13.7573528297327,13.8417926200026,13.7380523062424,13.8243015205896,270046270,0.0,1.0
2012-02-02,455.12,457.17,453.98,455.9,6671300,13.7250847670224,13.7869067563271,13.6907057095553,13.7486072800261,186796586,0.0,1.0
2012-02-03,459.68,460.0,455.56,457.3,10235700,13.8626009968906,13.8722512586357,13.7383538769219,13.7908271751611,286599886,0.0,1.0
2012-02-06,463.97,464.98,458.201,458.38,8907600,13.9919748184113,14.0224334570444,13.8179986933873,13.8233968085509,249413049,0.0,1.0
2012-02-07,468.83,469.75,464.581,465.25,11293700,14.1385381686656,14.1662826711829,14.010400786931,14.0305758653919,316223916,0.0,1.0
2012-02-08,476.68,476.79,469.7,470.5,14567500,14.375271152101,14.3785884295759,14.1647748177852,14.188900472148,407890407,0.0,1.0
2012-02-09,493.17,496.75,480.56,480.76,31579100,14.8725612026552,14.9805235059289,14.4922805757608,14.4983119893515,884215684,0.0,1.0
2012-02-10,493.42,497.62,488.55,490.96,22546500,14.8801004696435,15.0067601550485,14.7332355487097,14.8059140824778,631302631,0.0,1.0
2012-02-13,502.6,503.83,497.09,499.53,18472000,15.1569423534572,15.1940355470401,14.9907769090331,15.0643601548398,517216517,0.0,1.0
2012-02-14,509.46,509.56,502.0,504.66,16442800,15.3638198396186,15.3668355464139,15.1388481126851,15.2190659134415,460398860,0.0,1.0
2012-02-15,497.67,526.29,496.89,514.26,53790000,15.0082680084462,15.8713632932769,14.9847454954424,15.5085737657957,1506121506,0.0,1.0
2012-02-16,502.21,504.89,486.63,491.5,33734000,15.1451810969553,15.2260020390708,14.6753339782389,14.8221988991727,944552944,0.0,1.0
2012-02-17,502.12,507.77,500.3,503.11,19135900,15.1424669608395,15.3128543947771,15.087581097164,15.1723224581135,535805735,0.0,1.0
2012-02-21,514.85,514.85,504.12,506.88,21628400,15.5263664358883,15.5263664358883,15.2027810967466,15.2860146042984,605595805,0.0,1.0
2012-02-22,513.04,515.49,509.07,513.08,17260800,15.4717821428923,15.5456669593785,15.3520585831167,15.4729884256105,483302883,0.0,1.0
2012-02-23,516.39,517.8296,509.5,514.54,20286700,15.5728083205367,15.6162224355627,15.3650261223367,15.5170177448226,568028168,0.0,1.0
2012-02-24,522.41,522.9,518.64,519.67,14824000,15.7543538696171,15.7691308329144,15.6406617234322,15.6717235034244,415072415,0.0,1.0
2012-02-27,525.76,528.5,516.28,521.31,19556500,15.8553800472615,15.9380104134543,15.5694910430618,15.7211810948682,547582547,0.0,1.0
2012-02-28,535.41,535.41,525.85,527.96,21442400,16.1463957530134,16.1463957530134,15.8580941833774,15.9217255967594,600387800,0.0,1.0
2012-02-29,542.44,547.61,535.7,541.56,34000400,16.3583999407269,16.5143119820467,16.1551413027199,16.3318617209277,952012152,0.0,1.0
2012-03-01,544.47,548.21,538.77,548.17,24402500,16.4196187886726,16.5324062228189,16.2477235013373,16.5311999401007,683270683,0.0,1.0
2012-03-02,545.18,546.8,542.52,544.24,15418300,16.4410303069196,16.4898847570044,16.3608125061631,16.4126826630433,431712831,0.0,1.0
2012-03-05,533.16,547.48,526.0,545.42,28897300,16.0785423501179,16.5103915632128,15.8626177435704,16.4482680032285,809125209,0.0,1.0
2012-03-06,530.26,533.69,516.221,523.66,28937100,15.9910868530525,16.0945255961332,15.5677117760526,15.7920502045591,810239610,0.0,1.0
2012-03-07,530.69,537.78,523.3,536.8,28518600,16.0040543922726,16.2178680040633,15.7811936600958,16.1883140774688,798521598,0.0,1.0
2012-03-08,541.99,542.99,532.12,534.69,18444900,16.3448292601478,16.3749863281013,16.0471789994462,16.1246826640868,516457716,0.0,1.0
2012-03-09,545.17,547.74,543.11,544.21,14961400,16.4407287362401,16.5182324008807,16.3786051762557,16.4117779510047,418919618,0.0,1.0
2012-03-12,552.0,552.0,547.0,548.982,14545800,16.6467015103629,16.6467015103629,16.4959161705951,16.555687479279,407282807,0.0,1.0
2012-03-13,568.1,568.18,555.75,557.54,24673400,17.1322303044151,17.1346428698514,16.7597905151887,16.8137716668256,690855890,0.0,1.0
2012-03-14,589.58,594.72,575.4,578.05,50673000,17.7800041240575,17.9350114533388,17.3523769004761,17.432293130553,1418845418,0.0,1.0
2012-03-15,585.56,600.01,578.55,599.61,41418500,17.6587727108842,18.0945423428131,17.4473716645298,18.0824795156317,1159719159,0.0,1.0
2012-03-16,585.57,589.2,578.0,584.72,29481700,17.6590742815637,17.7685444382351,17.4307852771553,17.6334407738032,825488425,0.0,1.0
2012-03-19,601.1,601.77,589.05,598.37,32187000,18.1274135468824,18.1476187824113,17.7640208780421,18.0450847513692,901236901,0.0,1.0
2012-03-20,605.96,606.9,582.0,599.51,29166500,18.2739768971367,18.3023245410131,17.5514135489695,18.0794638088363,816662816,0.0,1.0
2012-03-21,602.5,609.65,601.41,602.74,23001500,18.1696334420174,18.3852564778853,18.136762237948,18.1768711383263,644042644,0.0,1.0
2012-03-22,599.34,604.5,595.53,597.78,22281100,18.0743371072842,18.2299475779245,17.9594386783811,18.0272920812766,623871423,0.0,1.0
2012-03-23,596.05,601.8,594.401,600.49,15374600,17.975120353717,18.1485234944499,17.9253913486616,18.1090177354308,430489230,0.0,1.0
2012-03-26,606.98,607.15,595.26,599.79,21276500,18.3047371064494,18.3098638080015,17.9512962700337,18.0879077878633,595742595,0.0,1.0
2012-03-27,614.48,616.28,606.06,606.18,21683200,18.530915116101,18.5851978384174,18.2769926039321,18.2806114520865,607130207,0.0,1.0
2012-03-28,617.62,621.45,610.31,618.38,23409300,18.6256083094752,18.7411098797373,18.4051601427347,18.6485276811199,655461055,0.0,1.0
2012-03-29,609.86,616.56,607.23,612.78,21722800,18.3915894621556,18.5936418174444,18.3122763734377,18.47964810058,608239008,0.0,1.0
2012-03-30,599.55,610.56,597.94,608.77,26108500,18.0806700915544,18.4126994097231,18.0321172121492,18.3587182580862,731038731,0.0,1.0
2012-04-02,618.63,618.77,600.38,601.83,21369700,18.6560669481083,18.6602889376218,18.1057004579559,18.1494282064885,598352198,0.0,1.0
2012-04-03,629.32,632.21,622.51,627.3,29805700,18.9784460045318,19.0655999309176,18.7730763717681,18.9175287272656,834560434,0.0,1.0
2012-04-04,624.31,625.86,617.0,624.35,20463600,18.8273590940845,18.8741025494125,18.606910927344,18.8285653768026,572981372,0.0,1.0
2012-04-05,633.68,634.66,623.4,626.98,22903500,19.1099308208093,19.1394847474038,18.7999161622467,18.9078784655205,641298641,0.0,1.0
2012-04-09,636.23,639.84,625.3,626.13,21340600,19.1868313440909,19.2956983594032,18.8572145913585,18.88224495776,597537397,0.0,1.0
2012-04-10,628.44,644.0,626.0,639.93,31775900,18.9519077847327,19.42115176209,18.878324538926,19.298412495519,889726089,0.0,1.0
2012-04-11,626.2,636.87,623.3422,636.2,24879100,18.8843559525167,19.2061318675811,18.798173083719,19.1859266320523,696615496,0.0,1.0
