date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2012-01-03,74.16,74.916,73.83,74.01,5152300,49.7255435389721,50.2324544197092,49.5042729164281,49.6249659832703,5152300,0.0,1.0
2012-01-04,73.84,74.37,73.52,73.93,3698900,49.5109780868083,49.8663521169547,49.2964126346444,49.5713246202294,3698900,0.0,1.0
2012-01-05,73.12,73.5,72.15,73.46,5064700,49.0282058194396,49.2830022938842,48.3778042925679,49.2561816123637,5064700,0.0,1.0
2012-01-06,73.48,73.94,73.05,73.13,3177500,49.2695919531239,49.5780297906095,48.9812696267788,49.0349109898197,3177500,0.0,1.0
2012-01-09,73.45,73.5,72.83,73.25,3959000,49.2494764419836,49.2830022938842,48.8337558784161,49.1153730343812,3959000,0.0,1.0
2012-01-10,74.19,74.74,73.3,73.97,3803700,49.7456590501125,50.1144434210191,49.1488988862818,49.5981453017498,3803700,0.0,1.0
2012-01-11,74.61,74.76,73.78,73.98,4047500,50.0272762060775,50.1278537617793,49.4707470645276,49.60485047213,4047500,0.0,1.0
2012-01-12,74.74,74.96,74.41,74.41,2777700,50.1144434210191,50.2619571693817,49.8931727984751,49.8931727984751,2777700,0.0,1.0
2012-01-13,74.16,74.27,73.0,73.19,5020600,49.7255435389721,49.7993004131534,48.9477437748782,49.0751420121005,5020600,0.0,1.0
2012-01-17,74.2,74.75,73.9,74.64,4093200,49.7523642204926,50.1211485913992,49.551209109089,50.0473917172179,4093200,0.0,1.0
2012-01-18,74.93,75.14,74.09,74.27,4578400,50.2418416582414,50.3826502362239,49.6786073463113,49.7993004131534,4578400,0.0,1.0
2012-01-19,75.31,75.58,74.97,74.97,4714100,50.496638132686,50.6776777329492,50.2686623397619,50.2686623397619,4714100,0.0,1.0
2012-01-20,75.42,75.61,75.0,75.31,5051000,50.5703950068673,50.6977932440896,50.2887778509022,50.496638132686,5051000,0.0,1.0
2012-01-23,75.13,75.49,74.68,75.45,3198600,50.3759450658438,50.6173311995281,50.0742123987384,50.5905105180076,3198600,0.0,1.0
2012-01-24,75.0,75.0909,74.46,74.67,3577700,50.2887778509022,50.3497278496575,49.9266986503757,50.0675072283583,3577700,0.0,1.0
2012-01-25,75.62,75.75,74.6,74.76,4219800,50.7044984144697,50.7916656294112,50.0205710356974,50.1278537617793,4219800,0.0,1.0
