Ticker,CIK,Company,Sector,Sub-Industry,Headquarters,Date_Added,Founded_Year
MMM,0000066740,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,1902
AOS,0000091142,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,1916
ABT,0000001800,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1888
ABBV,0001551152,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,2013 (1888)
ACN,0001467373,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1989
ADBE,0000796343,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,1982
AMD,0000002488,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,1969
AES,0000874761,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,1981
AFL,0000004977,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,1955
A,0001090872,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1999
APD,0000002969,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,1940
ABNB,0001559720,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,2008
AKAM,0001086222,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1998
ALB,0000915913,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,1994
ARE,0001035443,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1994
ALGN,0001097149,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1997
ALLE,0001579241,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1908
LNT,0000352541,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,1917
ALL,0000899051,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,1931
GOOGL,0001652044,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1998
GOOG,0001652044,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1998
MO,0000764180,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,1985
AMZN,0001018724,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1994
AMCR,0001748790,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,2019 (1860)
AEE,0001002910,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1902
