date,EarningsPerShareBasic,EarningsPerShareBasic_unit,EarningsPerShareDiluted,EarningsPerShareDiluted_unit,NetIncomeLoss,NetIncomeLoss_unit,OperatingIncomeLoss,OperatingIncomeLoss_unit,GrossProfit,GrossProfit_unit,Revenues,Revenues_unit,form,filed,fy,fp
2024-06-29,5.13,USD/shares,5.11,USD/shares,79000000000,USD,93625000000,USD,136804000000,USD,,,,,,
2024-03-30,3.72,USD/shares,3.71,USD/shares,57552000000,USD,68273000000,USD,97126000000,USD,,,,,,
2023-12-30,2.19,USD/shares,2.18,USD/shares,33916000000,USD,40373000000,USD,54855000000,USD,,,,,,
2023-09-30,6.16,USD/shares,6.13,USD/shares,96995000000,USD,114301000000,USD,169148000000,USD,,,,,,
2023-07-01,4.69,USD/shares,4.67,USD/shares,74039000000,USD,87332000000,USD,128721000000,USD,,,,,,
2023-04-01,3.42,USD/shares,3.41,USD/shares,54158000000,USD,64334000000,USD,92308000000,USD,,,,,,
2022-12-31,1.89,USD/shares,1.88,USD/shares,29998000000,USD,36016000000,USD,50332000000,USD,,,,,,
2022-09-24,6.15,USD/shares,6.11,USD/shares,99803000000,USD,119437000000,USD,170782000000,USD,,,,,,
2022-06-25,4.86,USD/shares,4.82,USD/shares,79082000000,USD,94543000000,USD,132687000000,USD,,,,,,
2022-03-26,3.65,USD/shares,3.62,USD/shares,59640000000,USD,71467000000,USD,96802000000,USD,,,,,,
2021-12-25,2.11,USD/shares,2.1,USD/shares,34630000000,USD,41488000000,USD,54243000000,USD,,,,,,
2021-09-25,5.67,USD/shares,5.61,USD/shares,94680000000,USD,108949000000,USD,152836000000,USD,,,,,,
2021-06-26,4.42,USD/shares,4.38,USD/shares,74129000000,USD,85163000000,USD,117662000000,USD,,,,,,
2021-03-27,3.11,USD/shares,3.08,USD/shares,52385000000,USD,61037000000,USD,82407000000,USD,,,,,,
2020-12-26,1.7,USD/shares,1.68,USD/shares,28755000000,USD,33534000000,USD,44328000000,USD,,,,,,
2020-09-26,3.31,USD/shares,3.28,USD/shares,57411000000,USD,66288000000,USD,104956000000,USD,,,,,,
2020-06-27,10.25,USD/shares,10.16,USD/shares,44738000000,USD,51513000000,USD,80267000000,USD,,,,,,
2020-03-28,7.63,USD/shares,7.56,USD/shares,33485000000,USD,38422000000,USD,57587000000,USD,,,,,,
2019-12-28,5.04,USD/shares,4.99,USD/shares,22236000000,USD,25569000000,USD,35217000000,USD,,,,,,
2019-09-28,11.97,USD/shares,11.89,USD/shares,55256000000,USD,63930000000,USD,98392000000,USD,,,,,,
2019-06-29,8.92,USD/shares,8.86,USD/shares,41570000000,USD,48305000000,USD,74079000000,USD,,,,,,
2019-03-30,6.7,USD/shares,6.66,USD/shares,31526000000,USD,36761000000,USD,53852000000,USD,,,,,,
2018-12-29,4.22,USD/shares,4.18,USD/shares,19965000000,USD,23346000000,USD,32031000000,USD,,,,,,
2018-09-29,12.01,USD/shares,11.91,USD/shares,59531000000,USD,70898000000,USD,101839000000,USD,265595000000.0,USD,10-K,2018-11-05,2018.0,FY
2018-06-30,9.07,USD/shares,8.99,USD/shares,45406000000,USD,54780000000,USD,77755000000,USD,53265000000.0,USD,10-K,2018-11-05,2018.0,FY
2018-03-31,6.69,USD/shares,6.63,USD/shares,33887000000,USD,42168000000,USD,57334000000,USD,61137000000.0,USD,10-K,2018-11-05,2018.0,FY
2017-12-30,3.92,USD/shares,3.89,USD/shares,20065000000,USD,26274000000,USD,33912000000,USD,88293000000.0,USD,10-K,2018-11-05,2018.0,FY
2017-09-30,9.27,USD/shares,9.21,USD/shares,48351000000,USD,61344000000,USD,88186000000,USD,229234000000.0,USD,10-K,2018-11-05,2018.0,FY
2017-07-01,7.18,USD/shares,7.14,USD/shares,37637000000,USD,48224000000,USD,68255000000,USD,45408000000.0,USD,10-K,2018-11-05,2018.0,FY
2017-04-01,5.5,USD/shares,5.46,USD/shares,28920000000,USD,37456000000,USD,50767000000,USD,52896000000.0,USD,10-K,2018-11-05,2018.0,FY
2016-12-31,3.38,USD/shares,3.36,USD/shares,17891000000,USD,23359000000,USD,30176000000,USD,78351000000.0,USD,10-K,2018-11-05,2018.0,FY
2016-09-24,8.35,USD/shares,8.31,USD/shares,45687000000,USD,60024000000,USD,84263000000,USD,215639000000.0,USD,10-K,2018-11-05,2018.0,FY
2016-06-25,6.66,USD/shares,6.62,USD/shares,36673000000,USD,48263000000,USD,66450000000,USD,,,,,,
2016-03-26,5.22,USD/shares,5.19,USD/shares,28877000000,USD,38158000000,USD,50344000000,USD,,,,,,
2015-12-26,3.3,USD/shares,3.28,USD/shares,18361000000,USD,24171000000,USD,30423000000,USD,,,,,,
2015-09-26,9.28,USD/shares,9.22,USD/shares,53394000000,USD,71230000000,USD,93626000000,USD,,,,,,
2015-06-27,7.3,USD/shares,7.25,USD/shares,42270000000,USD,56607000000,USD,73078000000,USD,,,,,,
2015-03-28,5.43,USD/shares,5.39,USD/shares,31593000000,USD,42524000000,USD,53397000000,USD,,,,,,
2014-12-27,3.08,USD/shares,3.06,USD/shares,18024000000,USD,24246000000,USD,29741000000,USD,,,,,,
2014-09-27,6.49,USD/shares,6.45,USD/shares,39510000000,USD,52503000000,USD,70537000000,USD,,,,,,
2014-06-28,5.06,USD/shares,5.03,USD/shares,31043000000,USD,41338000000,USD,54528000000,USD,,,,,,
2014-03-29,26.31,USD/shares,26.16,USD/shares,23295000000,USD,31056000000,USD,39793000000,USD,,,,,,
2013-12-28,14.59,USD/shares,14.5,USD/shares,13072000000,USD,17463000000,USD,21846000000,USD,,,,,,
2013-09-28,40.03,USD/shares,39.75,USD/shares,37037000000,USD,48999000000,USD,64304000000,USD,,,,,,
2013-06-29,31.67,USD/shares,31.44,USD/shares,29525000000,USD,38969000000,USD,50433000000,USD,,,,,,
2013-03-30,24.09,USD/shares,23.9,USD/shares,22625000000,USD,29768000000,USD,37409000000,USD,,,,,,
2012-12-29,13.93,USD/shares,13.81,USD/shares,13078000000,USD,17210000000,USD,21060000000,USD,,,,,,
2012-09-29,44.64,USD/shares,44.15,USD/shares,41733000000,USD,55241000000,USD,68662000000,USD,,,,,,
2012-06-30,35.89,USD/shares,35.48,USD/shares,33510000000,USD,44297000000,USD,54261000000,USD,,,,,,
2012-03-31,26.48,USD/shares,26.17,USD/shares,24686000000,USD,32724000000,USD,39267000000,USD,,,,,,
2011-12-31,14.03,USD/shares,13.87,USD/shares,13064000000,USD,17340000000,USD,20703000000,USD,,,,,,
2011-09-24,28.05,USD/shares,27.68,USD/shares,25922000000,USD,33790000000,USD,43818000000,USD,,,,,,
2011-06-25,20.91,USD/shares,20.63,USD/shares,19299000000,USD,25080000000,USD,32438000000,USD,,,,,,
