Date,Open,High,Low,Close,Volume,Currency
2006-01-04,1268.8,1275.37,1267.74,1273.46,0,USD
2006-01-05,1273.46,1276.91,1270.3,1273.48,0,USD
2006-01-06,1273.48,1286.09,1273.48,1285.45,0,USD
2006-01-09,1285.45,1290.78,1284.82,1290.15,0,USD
2006-01-10,1290.15,1290.15,1283.76,1289.69,0,USD
2006-01-11,1289.72,1294.9,1288.12,1294.18,0,USD
2006-01-12,1294.18,1294.18,1285.04,1286.06,0,USD
2006-01-13,1286.06,1288.96,1282.78,1287.61,0,USD
2006-01-17,1287.61,1287.61,1278.61,1283.03,0,USD
2006-01-18,1282.93,1282.93,1272.08,1277.93,0,USD
2006-01-19,1277.93,1287.79,1277.93,1285.04,0,USD
2006-01-20,1285.04,1285.04,1260.92,1261.49,0,USD
2006-01-23,1261.49,1268.19,1261.49,1263.82,0,USD
2006-01-24,1263.82,1271.47,1263.82,1266.86,0,USD
2006-01-25,1266.86,1271.87,1259.42,1264.68,0,USD
2006-01-26,1264.68,1276.44,1264.68,1273.83,0,USD
2006-01-27,1273.83,1286.38,1273.83,1283.72,0,USD
2006-01-30,1283.72,1287.94,1283.51,1285.19,0,USD
2006-01-31,1285.2,1285.2,1276.85,1280.08,0,USD
2006-02-01,1280.08,1283.33,1277.57,1282.46,0,USD
2006-02-02,1282.46,1282.46,1267.72,1270.84,0,USD
2006-02-03,1270.84,1270.87,1261.02,1264.03,0,USD
2006-02-06,1264.03,1267.04,1261.62,1265.02,0,USD
2006-02-07,1265.02,1265.78,1253.61,1254.78,0,USD
2006-02-08,1254.78,1266.47,1254.78,1265.65,0,USD
2006-02-09,1265.65,1274.56,1262.8,1263.78,0,USD
2006-02-10,1263.82,1269.89,1254.98,1266.99,0,USD
2006-02-13,1266.99,1266.99,1258.34,1262.86,0,USD
2006-02-14,1262.86,1278.21,1260.8,1275.53,0,USD
2006-02-15,1275.53,1281.0,1271.06,1280.0,0,USD
2006-02-16,1280.0,1289.39,1280.0,1289.38,0,USD
2006-02-17,1289.38,1289.47,1284.07,1287.24,0,USD
2006-02-21,1287.24,1291.92,1281.33,1283.03,0,USD
2006-02-22,1283.03,1294.17,1283.03,1292.67,0,USD
2006-02-23,1292.67,1293.84,1285.14,1287.79,0,USD
2006-02-24,1287.79,1292.11,1285.62,1289.43,0,USD
2006-02-27,1289.43,1297.57,1289.43,1294.12,0,USD
2006-02-28,1294.12,1294.12,1278.66,1280.66,0,USD
2006-03-01,1280.66,1291.8,1280.66,1291.24,0,USD
2006-03-02,1291.24,1291.24,1283.21,1289.14,0,USD
2006-03-03,1289.14,1297.33,1284.2,1287.23,0,USD
2006-03-06,1287.23,1288.23,1275.67,1278.26,0,USD
2006-03-07,1278.26,1278.26,1271.11,1275.88,0,USD
2006-03-08,1275.88,1280.33,1268.42,1278.47,0,USD
2006-03-09,1278.47,1282.74,1272.23,1272.23,0,USD
2006-03-10,1272.23,1284.37,1271.11,1281.42,0,USD
2006-03-13,1281.58,1287.37,1281.58,1284.13,0,USD
2006-03-14,1284.13,1298.14,1282.67,1297.48,0,USD
2006-03-15,1297.48,1304.4,1294.97,1303.02,0,USD
2006-03-16,1303.02,1310.45,1303.02,1305.33,0,USD
2006-03-17,1305.33,1309.79,1305.32,1307.25,0,USD
2006-03-20,1307.25,1310.0,1303.59,1305.08,0,USD
2006-03-21,1305.08,1310.88,1295.82,1297.23,0,USD
2006-03-22,1297.23,1305.97,1295.81,1305.04,0,USD
2006-03-23,1305.04,1305.04,1298.11,1301.67,0,USD
2006-03-24,1301.67,1306.53,1298.89,1302.95,0,USD
2006-03-27,1302.95,1303.74,1299.09,1301.61,0,USD
2006-03-28,1301.61,1306.24,1291.84,1293.23,0,USD
2006-03-29,1293.23,1305.6,1293.23,1302.89,0,USD
2006-03-30,1302.89,1310.15,1296.72,1300.25,0,USD
2006-03-31,1300.25,1303.0,1294.87,1294.87,0,USD
2006-04-03,1302.88,1309.19,1296.65,1297.81,0,USD
2006-04-04,1297.81,1307.55,1294.71,1305.93,0,USD
2006-04-05,1305.93,1312.81,1304.82,1311.56,0,USD
2006-04-06,1311.56,1311.99,1302.44,1309.04,0,USD
2006-04-07,1309.04,1314.07,1294.18,1295.5,0,USD
2006-04-10,1295.51,1300.74,1293.17,1296.62,0,USD
2006-04-11,1296.6,1300.71,1282.96,1286.57,0,USD
2006-04-12,1286.57,1290.93,1286.45,1288.12,0,USD
2006-04-13,1288.12,1292.09,1283.37,1289.12,0,USD
2006-04-17,1289.12,1292.45,1280.74,1285.33,0,USD
2006-04-18,1285.33,1309.02,1285.33,1307.28,0,USD
2006-04-19,1307.65,1310.39,1302.79,1309.93,0,USD
2006-04-20,1309.93,1318.16,1306.38,1311.46,0,USD
2006-04-21,1311.46,1317.67,1306.59,1311.28,0,USD
2006-04-24,1311.28,1311.28,1303.79,1308.11,0,USD
2006-04-25,1308.11,1310.79,1299.17,1301.74,0,USD
2006-04-26,1301.74,1310.97,1301.74,1305.41,0,USD
2006-04-27,1305.41,1315.0,1295.57,1309.72,0,USD
2006-04-28,1309.72,1316.04,1306.16,1310.61,0,USD
2006-05-01,1310.61,1317.21,1303.46,1305.19,0,USD
2006-05-02,1305.19,1313.66,1305.19,1313.21,0,USD
2006-05-03,1313.21,1313.47,1303.92,1308.12,0,USD
2006-05-04,1307.85,1315.14,1307.85,1312.25,0,USD
2006-05-05,1312.25,1326.53,1312.25,1325.76,0,USD
2006-05-08,1325.76,1326.7,1322.87,1324.66,0,USD
2006-05-09,1324.66,1326.6,1322.48,1325.14,0,USD
2006-05-10,1324.57,1325.51,1317.44,1322.85,0,USD
2006-05-11,1322.63,1322.63,1303.45,1305.92,0,USD
2006-05-12,1305.88,1305.88,1290.38,1291.24,0,USD
2006-05-15,1291.19,1294.81,1284.51,1294.5,0,USD
2006-05-16,1294.5,1297.88,1288.51,1292.08,0,USD
2006-05-17,1291.73,1291.73,1267.31,1270.32,0,USD
2006-05-18,1270.25,1274.89,1261.75,1261.81,0,USD
2006-05-19,1261.81,1272.15,1256.28,1267.03,0,USD
2006-05-22,1267.03,1268.77,1252.98,1262.07,0,USD
2006-05-23,1262.06,1273.67,1256.15,1256.58,0,USD
2006-05-24,1256.56,1264.53,1245.34,1258.57,0,USD
2006-05-25,1258.41,1273.26,1258.41,1272.88,0,USD
2006-05-26,1272.71,1280.54,1272.5,1280.16,0,USD
2006-05-30,1280.04,1280.04,1259.87,1259.87,0,USD
2006-05-31,1259.38,1270.09,1259.38,1270.09,0,USD
2006-06-01,1270.05,1285.71,1269.19,1285.71,0,USD
2006-06-02,1285.71,1290.68,1280.22,1288.22,0,USD
2006-06-05,1288.16,1288.16,1264.66,1265.29,0,USD
2006-06-06,1265.23,1269.88,1254.46,1263.85,0,USD
2006-06-07,1263.61,1272.47,1255.77,1256.15,0,USD
2006-06-08,1256.08,1259.85,1235.18,1257.93,0,USD
2006-06-09,1257.93,1262.58,1250.03,1252.3,0,USD
2006-06-12,1252.27,1255.22,1236.43,1237.44,0,USD
2006-06-13,1236.08,1243.37,1222.52,1223.69,0,USD
2006-06-14,1223.66,1231.46,1219.29,1230.04,0,USD
2006-06-15,1230.01,1258.64,1230.01,1256.16,0,USD
2006-06-16,1256.16,1256.27,1246.33,1251.54,0,USD
2006-06-19,1251.54,1255.93,1237.17,1240.13,0,USD
2006-06-20,1240.12,1249.01,1238.87,1240.12,0,USD
2006-06-21,1240.09,1257.96,1240.09,1252.2,0,USD
2006-06-22,1251.92,1251.92,1241.53,1245.6,0,USD
2006-06-23,1245.59,1253.13,1241.43,1244.5,0,USD
2006-06-26,1244.5,1250.92,1243.68,1250.56,0,USD
2006-06-27,1250.55,1253.37,1238.94,1239.2,0,USD
2006-06-28,1238.99,1247.06,1237.59,1246.0,0,USD
2006-06-29,1245.94,1272.88,1245.94,1272.87,0,USD
2006-06-30,1272.86,1276.3,1270.2,1270.2,0,USD
2006-07-03,1270.06,1280.38,1270.06,1280.19,0,USD
2006-07-05,1280.05,1280.05,1265.91,1270.91,0,USD
2006-07-06,1270.58,1278.32,1270.58,1274.08,0,USD
2006-07-07,1274.08,1275.38,1263.13,1265.48,0,USD
2006-07-10,1265.46,1274.06,1264.46,1267.34,0,USD
2006-07-11,1267.26,1273.64,1259.65,1272.43,0,USD
2006-07-12,1272.39,1273.31,1257.29,1258.6,0,USD
2006-07-13,1258.58,1258.58,1241.43,1242.28,0,USD
2006-07-14,1242.29,1242.7,1228.45,1236.2,0,USD
2006-07-17,1236.2,1240.07,1231.49,1234.49,0,USD
2006-07-18,1234.48,1239.86,1224.54,1236.86,0,USD
2006-07-19,1236.74,1261.81,1236.74,1259.81,0,USD
2006-07-20,1259.81,1262.56,1249.13,1249.13,0,USD
2006-07-21,1249.12,1250.96,1238.72,1240.29,0,USD
2006-07-24,1240.25,1262.5,1240.25,1260.91,0,USD
2006-07-25,1260.91,1272.39,1257.19,1268.88,0,USD
2006-07-26,1268.87,1273.89,1261.94,1268.4,0,USD
2006-07-27,1268.2,1275.85,1261.92,1263.2,0,USD
2006-07-28,1263.15,1280.42,1263.15,1278.55,0,USD
2006-07-31,1278.53,1278.66,1274.31,1276.66,0,USD
2006-08-01,1278.53,1278.66,1265.71,1270.92,0,USD
2006-08-02,1270.73,1283.42,1270.73,1277.41,0,USD
2006-08-03,1278.22,1283.96,1271.25,1280.27,0,USD
2006-08-04,1280.26,1292.92,1273.82,1279.36,0,USD
2006-08-07,1279.31,1279.31,1273.0,1275.77,0,USD
2006-08-08,1275.67,1282.75,1268.37,1271.48,0,USD
2006-08-09,1271.13,1283.74,1264.73,1265.95,0,USD
2006-08-10,1265.72,1272.55,1261.3,1271.81,0,USD
2006-08-11,1271.64,1271.64,1262.08,1266.74,0,USD
2006-08-14,1266.67,1278.9,1266.67,1268.21,0,USD
2006-08-15,1268.19,1286.23,1268.19,1285.58,0,USD
2006-08-16,1285.27,1296.21,1285.27,1295.43,0,USD
2006-08-17,1295.37,1300.78,1292.71,1297.48,0,USD
2006-08-18,1297.48,1302.3,1293.57,1302.3,0,USD
2006-08-21,1302.3,1302.3,1295.51,1297.52,0,USD
2006-08-22,1297.52,1302.49,1294.44,1298.82,0,USD
2006-08-23,1298.73,1301.5,1289.82,1292.99,0,USD
2006-08-24,1292.97,1297.23,1291.4,1296.06,0,USD
2006-08-25,1295.92,1298.88,1292.39,1295.09,0,USD
2006-08-28,1295.09,1305.02,1293.97,1301.78,0,USD
2006-08-29,1301.57,1305.02,1295.29,1304.28,0,USD
2006-08-30,1303.7,1306.74,1302.15,1305.37,0,USD
2006-08-31,1304.25,1306.11,1302.45,1303.82,0,USD
2006-09-01,1303.8,1312.03,1303.8,1311.01,0,USD
2006-09-05,1310.94,1314.67,1308.82,1313.25,0,USD
2006-09-06,1313.04,1313.04,1299.28,1300.26,0,USD
2006-09-07,1300.21,1301.25,1292.13,1294.02,0,USD
2006-09-08,1294.02,1300.14,1294.02,1298.92,0,USD
2006-09-11,1298.86,1302.36,1290.93,1299.54,0,USD
2006-09-12,1299.53,1314.28,1299.53,1313.0,0,USD
2006-09-13,1312.74,1319.92,1311.12,1318.07,0,USD
2006-09-14,1318.0,1318.0,1313.25,1316.28,0,USD
2006-09-15,1316.28,1324.65,1316.28,1319.66,0,USD
2006-09-18,1319.85,1324.87,1318.16,1321.18,0,USD
2006-09-19,1321.17,1322.04,1312.17,1317.64,0,USD
2006-09-20,1318.28,1328.53,1318.28,1325.18,0,USD
2006-09-21,1324.89,1328.19,1315.45,1318.03,0,USD
2006-09-22,1318.03,1318.03,1310.94,1314.78,0,USD
2006-09-25,1314.78,1329.35,1311.58,1326.37,0,USD
2006-09-26,1326.35,1336.6,1325.3,1336.35,0,USD
2006-09-27,1336.12,1340.08,1333.54,1336.59,0,USD
2006-09-28,1336.56,1340.28,1333.75,1338.88,0,USD
2006-09-29,1339.15,1339.88,1335.64,1335.85,0,USD
2006-10-02,1335.82,1338.54,1330.28,1331.32,0,USD
2006-10-03,1331.32,1338.31,1327.1,1334.11,0,USD
2006-10-04,1333.81,1350.2,1331.48,1350.2,0,USD
2006-10-05,1349.84,1353.79,1347.75,1353.22,0,USD
2006-10-06,1353.22,1353.22,1344.21,1349.59,0,USD
2006-10-09,1349.58,1352.69,1346.55,1350.66,0,USD
2006-10-10,1350.62,1354.23,1348.6,1353.42,0,USD
2006-10-11,1353.28,1353.97,1343.57,1349.95,0,USD
2006-10-12,1349.94,1363.76,1349.94,1362.83,0,USD
2006-10-13,1362.82,1366.63,1360.5,1365.62,0,USD
2006-10-16,1365.61,1370.2,1364.48,1369.06,0,USD
2006-10-17,1369.05,1369.05,1356.87,1364.05,0,USD
2006-10-18,1363.93,1372.87,1360.95,1365.8,0,USD
2006-10-19,1365.95,1368.09,1362.06,1366.96,0,USD
2006-10-20,1366.94,1368.66,1362.1,1368.6,0,USD
2006-10-23,1368.58,1377.4,1363.94,1377.02,0,USD
2006-10-24,1377.02,1377.78,1372.42,1377.38,0,USD
2006-10-25,1377.36,1383.61,1376.0,1382.22,0,USD
2006-10-26,1382.21,1389.45,1379.47,1389.08,0,USD
2006-10-27,1388.89,1388.89,1375.85,1377.34,0,USD
2006-10-30,1377.3,1381.22,1373.46,1377.93,0,USD
2006-10-31,1377.93,1381.21,1372.19,1377.94,0,USD
2006-11-01,1377.76,1381.95,1366.26,1367.81,0,USD
2006-11-02,1367.44,1368.39,1362.21,1367.34,0,USD
2006-11-03,1367.31,1371.68,1360.98,1364.3,0,USD
2006-11-06,1364.27,1381.4,1364.27,1379.78,0,USD
2006-11-07,1379.75,1388.19,1379.19,1382.84,0,USD
2006-11-08,1382.5,1388.61,1379.33,1385.72,0,USD
2006-11-09,1385.43,1388.92,1377.31,1378.33,0,USD
2006-11-10,1378.33,1381.04,1375.6,1380.9,0,USD
2006-11-13,1380.58,1387.61,1378.8,1384.42,0,USD
2006-11-14,1384.36,1394.49,1379.07,1393.22,0,USD
2006-11-15,1392.91,1401.35,1392.13,1396.57,0,USD
2006-11-16,1396.53,1403.76,1396.53,1399.76,0,USD
2006-11-17,1399.76,1401.21,1394.55,1401.2,0,USD
2006-11-20,1401.17,1404.37,1397.85,1400.5,0,USD
2006-11-21,1400.43,1403.49,1399.99,1402.81,0,USD
2006-11-22,1402.69,1407.89,1402.26,1406.09,0,USD
2006-11-24,1405.94,1405.94,1399.25,1400.95,0,USD
2006-11-27,1400.95,1400.95,1381.44,1381.96,0,USD
2006-11-28,1381.61,1387.91,1377.83,1386.72,0,USD
2006-11-29,1386.11,1401.14,1386.11,1399.48,0,USD
2006-11-30,1399.47,1406.3,1393.83,1400.63,0,USD
2006-12-01,1400.63,1402.46,1385.93,1396.71,0,USD
2006-12-04,1396.67,1411.23,1396.67,1409.12,0,USD
2006-12-05,1409.1,1415.27,1408.78,1414.76,0,USD
