<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19840907,000000,0.10182,0.10306,0.1006,0.10182,96661645,0
AAPL.US,D,19840910,000000,0.10182,0.10213,0.09937,0.10122,75025205,0
AAPL.US,D,19840911,000000,0.10213,0.1049,0.10213,0.10306,176913886,0
AAPL.US,D,19840912,000000,0.10306,0.10367,0.09998,0.09998,154549368,0
AAPL.US,D,19840913,000000,0.10552,0.10582,0.10552,0.10552,240704925,0
AAPL.US,D,19840914,000000,0.10582,0.10951,0.10582,0.10706,286604188,0
AAPL.US,D,19840917,000000,0.10983,0.11136,0.10983,0.10983,223775427,0
AAPL.US,D,19840918,000000,0.10983,0.11074,0.10582,0.10582,112966958,0
AAPL.US,D,19840919,000000,0.10582,0.10706,0.10367,0.10367,123395063,0
AAPL.US,D,19840920,000000,0.10398,0.1049,0.10398,0.10398,76819625,0
AAPL.US,D,19840921,000000,0.10398,0.10706,0.10182,0.10306,115905488,0
AAPL.US,D,19840924,000000,0.10306,0.10367,0.10213,0.10213,91720664,0
AAPL.US,D,19840925,000000,0.10182,0.10182,0.09998,0.09998,193635344,0
AAPL.US,D,19840926,000000,0.09998,0.10458,0.09876,0.09876,128830183,0
AAPL.US,D,19840927,000000,0.09876,0.09937,0.09876,0.09876,122978974,0
AAPL.US,D,19840928,000000,0.09876,0.09876,0.09445,0.09628,270975007,0
AAPL.US,D,19841001,000000,0.09599,0.09599,0.09414,0.09414,113513048,0
AAPL.US,D,19841002,000000,0.09475,0.09813,0.09475,0.09475,137281837,0
AAPL.US,D,19841003,000000,0.09628,0.09782,0.09628,0.09628,139804407,0
AAPL.US,D,19841004,000000,0.0975,0.09813,0.0975,0.0975,145681590,0
AAPL.US,D,19841005,000000,0.0975,0.0975,0.09475,0.09537,113279028,0
AAPL.US,D,19841008,000000,0.09537,0.09599,0.09537,0.09537,54533089,0
AAPL.US,D,19841009,000000,0.09537,0.09599,0.09445,0.09445,145421519,0
AAPL.US,D,19841010,000000,0.09445,0.09445,0.09167,0.09167,423573998,0
AAPL.US,D,19841011,000000,0.09167,0.09414,0.09106,0.09106,212177092,0
AAPL.US,D,19841012,000000,0.09106,0.09167,0.08644,0.08706,308578681,0
AAPL.US,D,19841015,000000,0.09197,0.0929,0.09197,0.09197,282417341,0
