MEASURE,CALL,PUT,TOTAL,TYPE,DATE
VOLUME,3743712,2866828,6610540,INDEX OPTIONS,2021-04-17
OPEN INTEREST,243604627,187098520,430703147,INDEX OPTIONS,2021-04-17
VOLUME,903187,1330857,2234044,EXCHANGE TRADED PRODUCTS,2021-04-17
OPEN INTEREST,11210163,14519909,25730072,EXCHANGE TRADED PRODUCTS,2021-04-17
VOLUME,736068,609412,1345480,EQUITY OPTIONS,2021-04-17
OPEN INTEREST,47777402,60702900,108480302,EQUITY OPTIONS,2021-04-17
VOLUME,2104457,926559,3031016,CBOE VOLATILITY INDEX (VIX),2021-04-17
OPEN INTEREST,184617062,111875711,296492773,CBOE VOLATILITY INDEX (VIX),2021-04-17
VOLUME,343397,432271,775668,SPX + SPXW,2021-04-17
OPEN INTEREST,5752480,4056872,9809352,SPX + SPXW,2021-04-17
VOLUME,542986,815286,1358272,OEX,2021-04-17
OPEN INTEREST,4179143,8953365,13132508,OEX,2021-04-17
VOLUME,113,96,209,MRUT,2021-04-17
OPEN INTEREST,664,1545,2209,MRUT,2021-04-17
